Navigational position (  -165.888607094,   -122.802399309,   -100.247605812)
Navigational position (   195.635787538,   -130.799813337,   -99.1775199993)
Navigational position (    206.13145256,   -124.253325011,   -99.1595000435)
Navigational position (  -168.125289997,    208.291736343,   -100.891365729)
Navigational position (   206.593955797,     204.11049013,   -99.7901306201)
